FREQ;dBi
0;-7.44
20;-7.24
40;-7.04
60;-6.84
80;-6.64
100;-6.44
120;-6.24
140;-6.04
160;-5.84
180;-5.64
200;-5.44
220;-5.24
240;-5.04
260;-4.84
280;-4.64
300;-4.44
320;-4.24
340;-4.04
360;-3.84
380;-3.64
400;-3.44
420;-3.24
440;-3.04
460;-2.84
480;-2.64
500;-2.44
520;-2.24
540;-2.04
560;-1.84
580;-1.64
600;-1.44
620;-1.24
640;-1.04
660;-0.84
680;-0.639999999999999
700;-0.44
720;-0.24
740;-0.04
760;0.16
780;0.36
800;0.56
820;0.76
840;0.96
860;1.16
880;1.11
900;1.06
920;1.01
940;0.960000000000001
960;0.910000000000001
980;0.860000000000001
1000;0.810000000000001
1020;0.76
1040;0.71
1060;0.66
1080;0.61
1100;0.56
1120;0.51
1140;0.46
1160;0.41
1180;0.36
1200;0.31
1220;0.26
1240;0.21
1260;0.16
1280;0.11
1300;0.06
1320;0.01
1340;-0.04
1360;-0.09
1380;-0.14
1400;-0.19
1420;-0.24
1440;-0.29
1460;-0.340000000000001
1480;-0.390000000000001
1500;-0.440000000000001
1520;-0.490000000000001
1540;-0.540000000000001
1560;-0.590000000000001
1580;-0.640000000000001
1600;-0.690000000000001
1620;-0.740000000000001
1640;-0.790000000000001
1660;-0.84
1680;-0.890000000000001
1700;-0.940000000000001
1720;-0.990000000000001
1740;-1.04
1760;-1.09
1780;-1.14
1800;-1.19
1820;-1.24
1840;-1.29
1860;-1.34
1880;-1.39
1900;-1.44
1920;-1.49
1940;-1.54
1960;-1.59
1980;-1.64
2000;-1.69
2020;-1.74
2040;-1.79
2060;-1.84
2080;-1.89
2100;-1.94
2120;-1.99
2140;-2.04
2160;-2.09
2180;-2.14
2200;-2.19
2220;-2.24
2240;-2.29
2260;-2.34
2280;-2.39
2300;-2.44
2320;-2.49
2340;-2.54
2360;-2.59
2380;-2.64
2400;-2.69
2420;-2.74
2440;-2.79
2460;-2.84
2480;-2.89
2500;-2.94
2520;-2.99
2540;-3.04
2560;-3.09
2580;-3.14
2600;-3.19
2620;-3.24
2640;-3.29
2660;-3.34
2680;-3.39
2700;-3.44
2720;-3.49
2740;-3.54
2760;-3.59
2780;-3.64
2800;-3.69
2820;-3.74
2840;-3.79
2860;-3.84
2880;-3.89
2900;-3.94
2920;-3.99
2940;-4.04
2960;-4.09
2980;-4.14
3000;-4.19
3020;-4.24
3040;-4.29
3060;-4.34
3080;-4.39
3100;-4.44
3120;-4.49
3140;-4.54
3160;-4.59
3180;-4.64
3200;-4.69
3220;-4.74
3240;-4.79
3260;-4.84
3280;-4.89
3300;-4.94
3320;-4.99
3340;-5.04
3360;-5.08999999999999
3380;-5.13999999999999
3400;-5.18999999999999
3420;-5.23999999999999
3440;-5.28999999999999
3460;-5.33999999999999
3480;-5.38999999999999
3500;-5.43999999999999
3520;-5.48999999999999
3540;-5.53999999999999
3560;-5.58999999999999
3580;-5.63999999999999
3600;-5.68999999999999
3620;-5.73999999999999
3640;-5.78999999999999
3660;-5.83999999999999
3680;-5.88999999999999
3700;-5.93999999999999
3720;-5.98999999999999
3740;-6.03999999999999
3760;-6.08999999999999
3780;-6.13999999999999
3800;-6.18999999999999
3820;-6.23999999999999
3840;-6.28999999999999
3860;-6.33999999999999
3880;-6.38999999999999
3900;-6.43999999999999
3920;-6.48999999999999
3940;-6.53999999999999
3960;-6.58999999999999
3980;-6.63999999999999
4000;-6.68999999999999
4020;-6.73999999999999
4040;-6.78999999999999
4060;-6.83999999999999
4080;-6.88999999999999
4100;-6.93999999999999
4120;-6.98999999999999
4140;-7.03999999999999
4160;-7.08999999999999
4180;-7.13999999999999
4200;-7.18999999999999
4220;-7.23999999999999
4240;-7.28999999999999
4260;-7.33999999999999
4280;-7.38999999999999
4300;-7.43999999999999
4320;-7.48999999999999
4340;-7.53999999999999
4360;-7.58999999999999
4380;-7.63999999999999
4400;-7.68999999999999
4420;-7.73999999999999
4440;-7.78999999999999
4460;-7.83999999999999
4480;-7.88999999999998
4500;-7.93999999999998
4520;-7.98999999999998
4540;-8.03999999999999
4560;-8.08999999999998
4580;-8.13999999999998
4600;-8.18999999999998
4620;-8.23999999999998
4640;-8.28999999999998
4660;-8.33999999999998
4680;-8.38999999999998
4700;-8.43999999999998
4720;-8.48999999999998
4740;-8.53999999999998
4760;-8.58999999999998
4780;-8.63999999999998
4800;-8.68999999999998
4820;-8.73999999999998
4840;-8.78999999999998
4860;-8.83999999999998
4880;-8.88999999999998
4900;-8.93999999999998
4920;-8.98999999999998
4940;-9.03999999999998
4960;-9.08999999999998
4980;-9.13999999999998
5000;-9.18999999999998
5020;-9.23999999999998
5040;-9.28999999999999
5060;-9.33999999999999
5080;-9.38999999999999
5100;-9.43999999999999
5120;-9.48999999999999
5140;-9.53999999999999
5160;-9.58999999999999
5180;-9.63999999999999
5200;-9.68999999999999
5220;-9.73999999999999
5240;-9.78999999999999
5260;-9.83999999999999
5280;-9.88999999999999
5300;-9.93999999999999
5320;-9.99
5340;-10.04
5360;-10.09
5380;-10.14
5400;-10.19
5420;-10.24
5440;-10.29
5460;-10.34
5480;-10.39
5500;-10.44
5520;-10.49
5540;-10.54
5560;-10.59
5580;-10.64
5600;-10.69
5620;-10.74
5640;-10.79
5660;-10.84
5680;-10.89
5700;-10.94
5720;-10.99
5740;-11.04
5760;-11.09
5780;-11.14
5800;-11.19
5820;-11.24
5840;-11.29
5860;-11.34
5880;-11.39
5900;-11.44
5920;-11.49
5940;-11.54
5960;-11.59
5980;-11.64
6000;-11.69
6020;-11.74
6040;-11.79
6060;-11.84
6080;-11.89
6100;-11.94
6120;-11.99
6140;-12.04
6160;-12.09
6180;-12.14
6200;-12.19
6220;-12.24
6240;-12.29
6260;-12.34
6280;-12.39
6300;-12.44
6320;-12.49
6340;-12.54
6360;-12.59
6380;-12.64
6400;-12.69
6420;-12.74
6440;-12.79
6460;-12.84
6480;-12.89
6500;-12.94
6520;-12.99
6540;-13.04
6560;-13.09
6580;-13.14
6600;-13.19
6620;-13.24
6640;-13.29
6660;-13.34
6680;-13.39
6700;-13.44
6720;-13.49
6740;-13.54
6760;-13.59
6780;-13.64
6800;-13.69
6820;-13.74
6840;-13.79
6860;-13.8400000000001
6880;-13.8900000000001
6900;-13.9400000000001
6920;-13.9900000000001
6940;-14.0400000000001
6960;-14.0900000000001
6980;-14.1400000000001
7000;-14.1900000000001
